Features,KMeans Silhouette,Agglomerative Silhouette,GMM Silhouette,KMeans Davies-Bouldin,Agglomerative Davies-Bouldin,GMM Davies-Bouldin,KMeans Calinski-Harabasz,Agglomerative Calinski-Harabasz,GMM Calinski-Harabasz
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionHour', 'Channel']",0.4170314335250125,0.260117584661661,0.45918580451819646,1.1187522933723983,1.153802998562424,1.3246885740662835,1088.68366748001,937.2895130213022,880.2306184953609
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionHour', 'CustomerOccupation']",0.4170314335250125,0.260117584661661,0.45918580451819646,1.1187522933723983,1.153802998562424,1.3246885740662835,1088.68366748001,937.2895130213022,880.2306184953609
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TimeSinceLastTransaction', 'TransactionAmountRelativeToBalance']",0.33992894121276657,0.5710521183949749,0.48946183374527713,1.2674768864995587,0.7765146250154304,0.9653091272858279,1027.9888870194493,1120.9506998870693,1286.1016227575444
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TimeSinceLastTransaction', 'IsNewDevice']",0.38468207066498267,0.31425439932752325,0.6860892739617217,1.0375991815466947,1.092960879930194,1.393409366977669,1149.7812906017593,943.0985981011312,114.79268861694533
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TimeSinceLastTransaction', 'FailedLoginFlag']",0.3474738682893464,0.32239407573846185,0.44482027633408494,1.219690644950311,1.2996575069906449,1.369277163046387,1199.0101423056233,1086.8386745850119,870.8988732861775
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TimeSinceLastTransaction', 'TransactionType']",0.3474738682893464,0.32239407573846185,0.44482027633408494,1.219690644950311,1.2996575069906449,1.369277163046387,1199.0101423056233,1086.8386745850119,870.8988732861775
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TimeSinceLastTransaction', 'Location']",0.3474738682893464,0.32239407573846185,0.44482027633408494,1.219690644950311,1.2996575069906449,1.369277163046387,1199.0101423056233,1086.8386745850119,870.8988732861775
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TimeSinceLastTransaction', 'Channel']",0.3474738682893464,0.32239407573846185,0.44482027633408494,1.219690644950311,1.2996575069906449,1.369277163046387,1199.0101423056233,1086.8386745850119,870.8988732861775
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TimeSinceLastTransaction', 'CustomerOccupation']",0.3474738682893464,0.32239407573846185,0.44482027633408494,1.219690644950311,1.2996575069906449,1.369277163046387,1199.0101423056233,1086.8386745850119,870.8988732861775
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionAmountRelativeToBalance', 'IsNewDevice']",0.5558208062071012,0.3996547037791631,0.5449959303212693,0.8028823991079139,1.0533067237714435,0.8085025170759798,1272.9006209656168,1012.4010641668947,1258.6170600505598
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionAmountRelativeToBalance', 'FailedLoginFlag']",0.428809379628249,0.4262274344887424,0.4245798071302931,1.0543676849577877,1.0728231231978524,1.0144967287952409,854.3999038999518,1133.4618932627889,1143.2400072393232
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionAmountRelativeToBalance', 'TransactionType']",0.428809379628249,0.4262274344887424,0.4245798071302931,1.0543676849577877,1.0728231231978524,1.0144967287952409,854.3999038999518,1133.4618932627889,1143.2400072393232
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionAmountRelativeToBalance', 'Location']",0.428809379628249,0.4262274344887424,0.4245798071302931,1.0543676849577877,1.0728231231978524,1.0144967287952409,854.3999038999518,1133.4618932627889,1143.2400072393232
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionAmountRelativeToBalance', 'Channel']",0.428809379628249,0.4262274344887424,0.4245798071302931,1.0543676849577877,1.0728231231978524,1.0144967287952409,854.3999038999518,1133.4618932627889,1143.2400072393232
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'TransactionAmountRelativeToBalance', 'CustomerOccupation']",0.428809379628249,0.4262274344887424,0.4245798071302931,1.0543676849577877,1.0728231231978524,1.0144967287952409,854.3999038999518,1133.4618932627889,1143.2400072393232
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'IsNewDevice', 'FailedLoginFlag']",0.3696385938591727,0.31129192404822115,0.41921163264444083,1.110923440354144,1.1641691224108404,1.263898686785077,1182.3199484334186,949.3937843732823,839.9167713724701
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'IsNewDevice', 'TransactionType']",0.3696385938591727,0.31129192404822115,0.41921163264444083,1.110923440354144,1.1641691224108404,1.263898686785077,1182.3199484334186,949.3937843732823,839.9167713724701
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'IsNewDevice', 'Location']",0.3696385938591727,0.31129192404822115,0.41921163264444083,1.110923440354144,1.1641691224108404,1.263898686785077,1182.3199484334186,949.3937843732823,839.9167713724701
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'IsNewDevice', 'Channel']",0.3696385938591727,0.31129192404822115,0.41921163264444083,1.110923440354144,1.1641691224108404,1.263898686785077,1182.3199484334186,949.3937843732823,839.9167713724701
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'IsNewDevice', 'CustomerOccupation']",0.3696385938591727,0.31129192404822115,0.41921163264444083,1.110923440354144,1.1641691224108404,1.263898686785077,1182.3199484334186,949.3937843732823,839.9167713724701
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'FailedLoginFlag', 'TransactionType']",0.3696385938591727,0.31129192404822115,0.41921163264444083,1.110923440354144,1.1641691224108404,1.263898686785077,1182.3199484334186,949.3937843732823,839.9167713724701
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'FailedLoginFlag', 'Location']",0.3696385938591727,0.31129192404822115,0.41921163264444083,1.110923440354144,1.1641691224108404,1.263898686785077,1182.3199484334186,949.3937843732823,839.9167713724701
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'FailedLoginFlag', 'Channel']",0.3696385938591727,0.31129192404822115,0.41921163264444083,1.110923440354144,1.1641691224108404,1.263898686785077,1182.3199484334186,949.3937843732823,839.9167713724701
"['TransactionAmount', 'CustomerAge', 'TransactionDuration', 'FailedLoginFlag', 'CustomerOccupation']",0.3696385938591727,0.31129192404822115,0.41921163264444083,1.110923440354144,1.1641691224108404,1.263898686785077,1182.3199484334186,949.3937843732823,839.9167713724701
